date,x
1/1/2013,94.468
1/2/2013,101.261
1/3/2013,102.067
1/4/2013,96.418
1/5/2013,104.274
1/6/2013,90.108
1/7/2013,90.908
1/8/2013,84.807
1/9/2013,78.162
1/10/2013,77.968
1/11/2013,87.189
1/12/2013,91.822
1/1/2014,99.975
1/2/2014,99.796
1/3/2014,103.423
1/4/2014,104.667
1/5/2014,102.343
1/6/2014,99.706
1/7/2014,93.984
1/8/2014,84.353
1/9/2014,89.485
1/10/2014,90.1
1/11/2014,97.173
1/12/2014,98.944
1/1/2015,104.746
1/2/2015,100.857
1/3/2015,103.786
1/4/2015,108.15
1/5/2015,108.522
1/6/2015,103.761
1/7/2015,95.7
1/8/2015,90.584
1/9/2015,83.72
1/10/2015,79.075
1/11/2015,98.685
1/12/2015,101.923
1/1/2016,105.73
1/2/2016,100.628
1/3/2016,108.29
1/4/2016,112.934
1/5/2016,112.582
1/6/2016,112.845
1/7/2016,104.746
1/8/2016,96.198
1/9/2016,90.248
1/10/2016,92.88
1/11/2016,99.463
1/12/2016,104.39
1/1/2017,108.167
1/2/2017,112.366
1/3/2017,112.165
1/4/2017,116.605
1/5/2017,112.846
1/6/2017,115.313
1/7/2017,102.999
1/8/2017,94.133
1/9/2017,90.435
1/10/2017,97.806
1/11/2017,102.652
1/12/2017,107.932
1/1/2018,109.041
1/2/2018,101.429
1/3/2018,111.605
1/4/2018,96.784
1/5/2018,110.749
1/6/2018,112.866
1/7/2018,107.851
1/8/2018,103.58
1/9/2018,108.558
1/10/2018,107.963
1/11/2018,109.351
1/12/2018,109.505
1/1/2019,112.498
1/2/2019,105.145
1/3/2019,113.94
1/4/2019,110.7
1/5/2019,108.047
1/6/2019,119.886
1/7/2019,105.102
1/8/2019,96.309
1/9/2019,102.608
1/10/2019,102.978
1/11/2019,97.537
1/12/2019,120.158
1/1/2020,112.938
1/2/2020,114.927
1/3/2020,120.28
1/4/2020,121.51
1/5/2020,119.827
1/6/2020,118.759
1/7/2020,110.672
1/8/2020,112.258
1/9/2020,108.589
1/10/2020,100.292
1/11/2020,111.507
1/12/2020,115.524
1/1/2021,123.905
1/2/2021,126.11
1/3/2021,122.793
1/4/2021,126.022
1/5/2021,125.753
1/6/2021,122.075
1/7/2021,114.193
1/8/2021,110.677
1/9/2021,105.133
1/10/2021,105.684
1/11/2021,113.926
1/12/2021,113.945
1/1/2022,131.997
1/2/2022,129.455
1/3/2022,134.901
1/4/2022,131.888
1/5/2022,132.608
1/6/2022,124.062
1/7/2022,121.785
1/8/2022,116.073
1/9/2022,112.548
1/10/2022,118.245
1/11/2022,118.444
1/12/2022,119.52
1/1/2023,129.536
1/2/2023,131.286
1/3/2023,136.398
1/4/2023,135.848
1/5/2023,126.008
1/6/2023,131.089
1/7/2023,122.163
1/8/2023,118.371
1/9/2023,111.643
1/10/2023,115.319
1/11/2023,121.866
1/12/2023,128.744
1/1/2024,133.145
1/2/2024,128.051
1/3/2024,129.718
1/4/2024,130.416
1/5/2024,128.822
1/6/2024,137.301
1/7/2024,122.301
1/8/2024,121.265
1/9/2024,122.41
1/10/2024,121.905
1/11/2024,128.408
1/12/2024,126.605
